compound_smiles	compound_source	compound_inchikey	gram-positive	gram-negative	fungi	acid-fast
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1	spark	ZHNYHAWKUAXLOE-ITYLOYPMSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=CC=C1)C1=CC=CC=C1	spark	QOUIFCHSHUSXNX-XHPQRKPJSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(OCC(O)=O)C(OC)=C3)C(=O)N2C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1	spark	YVEHLQQJFZAIEL-JLPGSUDCSA-N		4.0		
OC(=O)C1=CC(=CC=C1)C1=CC=C(O1)\C=C1/SC2=NC(=CC(N2C1=O)C1=CC=C(Cl)C=C1)C1=CC=CC=C1	spark	QHFCBXCITJVEBH-YUMHPJSZSA-N		4.0		
COC1=CC=C(C=C1)C1C=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N12)C1=CC=CC=C1	spark	XVIHZAUTURWGEK-QRQIAZFYSA-N		4.0		
CCOC(=O)C1=C(C)N=C2S\C(=C/C3=CC=C(OCC(O)=O)C=C3)C(=O)N2C1C1=CC=C(Cl)C=C1	spark	XSQDEOJNULNBPG-UNOMPAQXSA-N		4.0		
CCOC(=O)C1=C(C)N=C2S\C(=C/C3=CC=C(OCC(O)=O)C=C3)C(=O)N2C1C1=CC=C(OC)C=C1	spark	SFHOCQSDTXNZSL-MOSHPQCFSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(OCC(O)=O)C=C3)C(=O)N2C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1	spark	UOQLGGXEUFDIEF-KQWNVCNZSA-N		4.0		
CCOC(=O)C1=C(C)N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(OC)C=C1	spark	OUAYUKONMJMGCJ-HAHDFKILSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(C=C1)[N+]([O-])=O)C1=CC=CC=C1	spark	KLSKLERLBBOMFZ-ITYLOYPMSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(O)C=C1)C1=CC=CC=C1	spark	ZHRLMBQCLOBRPV-ITYLOYPMSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC(=CC=C3)C(O)=O)C(=O)N2C1C1=CC2=C(OCO2)C=C1)C1=CC=CC=C1	spark	ODVSFTLQLIGOFB-PKAZHMFMSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(F)C=C1)C1=CC=CC=C1	spark	BPPUSHKUNZUGCC-ITYLOYPMSA-N		4.0		
CCOC(=O)C1=C(C)N=C2S\C(=C/C3=CC=C(OCC(O)=O)C(OC)=C3)C(=O)N2C1C1=CC=C(OC)C=C1	spark	MNPBIQHOPFNEHF-BKUYFWCQSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=C(C=C3)C(O)=O)C(=O)N2C1C1=CC=C(OC)C=C1)C1=CC=CC=C1	spark	ZNLLBBKFAPDCRC-DIBXZPPDSA-N		4.0		
CCOC(=O)C1=C(N=C2S\C(=C/C3=CC=C(O3)C3=CC=CC(=C3)C(O)=O)C(=O)N2C1C1=CC=C(OC)C=C1)C1=CC=CC=C1	spark	GVLLZWHNXFSVCM-DIBXZPPDSA-N		4.0		
CN1[C@@H]2C3=C(C4=CNC=C4[C@]2(C)C2=C1C=CC(Cl)=C2)C1=C(N3)C=CC(Cl)=C1	spark	LDQFIYNIQYYGSV-YADHBBJMSA-N		4.0		
COC(=O)C1=C(C2=CNC3=C2C=C(Cl)C=C3)C(C2=CNC3=C2C=C(Cl)C=C3)=C(N1C)C(=O)OC	spark	HDSWTZRUKHSYDF-UHFFFAOYSA-N		4.0		
COC(=O)C1=C(C(=CN1C)C1=CNC2=C1C=C(Cl)C=C2)C1=CNC2=C1C=C(Cl)C=C2	spark	WTHPKNLNQHMHLV-UHFFFAOYSA-N		4.0		
CN1C=C(C2=CNC3=C2C=C(Cl)C=C3)C(=C1)[C@@]1(C)CN(C)C2=C1C=C(Cl)C=C2	spark	CMOISPAWONHXEH-QHCPKHFHSA-N		4.0		
CN1[C@@H]2C3=C(C4=C(N3)C=CC(Cl)=C4)C3=C(C)NC=C3[C@]2(C)C2=C1C=CC(Cl)=C2	spark	ZVEJGLKGBBJKBW-PKTZIBPZSA-N		4.0		
CN1C=C2C(=C1)[C@@]1(C)[C@H](N(C)C3=C1C=C(Cl)C=C3)C1=C2C2=C(N1)C=CC(Cl)=C2	spark	VOENECZXFQZIKA-PKTZIBPZSA-N		4.0		
CN1C=C2C(=C1C)C1=C(NC3=C1C=C(Cl)C=C3)[C@H]1N(C)C3=C(C=C(Cl)C=C3)[C@@]21C	spark	KAAWANRWHLWZFV-RPWUZVMVSA-N		4.0		
CO\N=C1\CN([C@H]1CN)C1=C(OC)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	NTBAZCSUZZNGNO-DBILBVKRSA-N		7.0		
CCO\N=C1\CN(CC1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	KOBADWSPGIBBLM-LFNYMHRRSA-N		7.0		
NC[C@@H]1N(C\C1=N\OCC1=CC=CC=C1)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	XWMYMOOGSQRMAI-XSOROHCJSA-N		7.0		
CCO\N=C1\CN([C@H]1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	YFBLAEJMKHEVJO-FQCLHORWSA-N		8.0		
CO\N=C1\CN([C@@H]1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CCRZGHRYQSQCDZ-YTMAUPNQSA-N		7.0		
CO\N=C1\CN([C@H]1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CCRZGHRYQSQCDZ-XGRPOSTHSA-N		7.0		
CO\N=C1\CCN(CC1N)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	IDQDTHZXYKUCQC-KEBQAVJESA-N		7.0		
CO\N=C1\CCN(CC1N)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	VQKNYFTUGVTGHI-VUEFXLMISA-N		6.0		
CCO\N=C1\CN([C@@H]1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	DOYXFBAYCBKTSP-ZFYPCNRMSA-N		6.0		
CO\N=C1\CN(CC1CN)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	RFEGFOVJMDRXDL-VINUGGHZSA-N		7.0		
NC[C@H]1N(C\C1=N\OCC1=CC=CC=C1)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	XWMYMOOGSQRMAI-MTMNVZJUSA-N		7.0		
CO\N=C1\CCN(CC1N)C1=C(OC)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	SWSSOADKNJTDAL-YFJJBTQPSA-N		7.0		
CO\N=C1/CCN(CC1N)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	spark	KSZDSPPAHYDVDZ-HZHRSRAPSA-N		7.0		
NC[C@@H]1N(C\C1=N\OCC1=CC=CC=C1)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CJIWCNJWKQNSQL-AWQBQARVSA-N		7.0		
CCO\N=C1\CN([C@H]1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	DOYXFBAYCBKTSP-DBILBVKRSA-N		7.0		
CO\N=C1\CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	RSWSYKBZJLJUQT-OYJFQKFYSA-N		7.0		
NCC1CN(C\C1=N\OCC1=CC=CC=C1)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	ZDDNGEZSAWHJHF-FUTAHZFSSA-N		6.0		
CCO\N=C1\CN(CC1CN)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	OLDHJEXGOLOTMJ-YQACCZICSA-N		6.0		
NCC1CN(C\C1=N\OCC1=CC=CC=C1)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	HHFJZNHURRQJDJ-YHOLVWQYSA-N		8.0		
CO\N=C1\CCN(CC1N)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	XONYOAPMOHFAKW-NYIIUBGBSA-N		7.0		
CO\N=C1\CN(CC1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	JBZFBUOBRYZTNE-FGIGIVEXSA-N		8.0		
CO\N=C1\CN([C@H]1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CKJYHSTZQCBWNW-MLGBKARZSA-N		8.0		
CO\N=C1\CN([C@@H]1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CKJYHSTZQCBWNW-IDRCDFDOSA-N		7.0		
CCO\N=C1\CN([C@@H]1CN)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	YFBLAEJMKHEVJO-LGSSUNLKSA-N		7.0		
NCC1CN(C\C1=N\OCC1=CC=CC=C1)C1=CC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	FWCDXRJLMOIUSR-KBVPBKJRSA-N		7.0		
CCO\N=C1\CN(CC1CN)C1=C(OC)C2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	XFQFQPNFZLGKJX-SXJZQIBASA-N		5.0		
NC[C@H]1N(C\C1=N\OCC1=CC=CC=C1)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	CJIWCNJWKQNSQL-JMINAANHSA-N		6.0		
CCO\N=C1\CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2[C@@H]1C[C@@H]1F)C(O)=O	spark	BAAWPQURTJMLPF-QBFYDWFKSA-N		8.0		
COC1=CC(O)=C2C(=O)C3=C([C@@H](O)[C@](C)(O)[C@H](O)C3)C(=O)C2=C1	spark	VEGRZYSJCNPLRM-UHNFBRDESA-N		5.0		
COC1=CC2=C(C(O)=C1)C(=O)C1=C(C(O)=C(C)C=C1C2=O)C1=C2C(=O)C3=C(C[C@@H](O)[C@@](C)(O)[C@@H]3O)C(=O)C2=C(O)C=C1OC	spark	ZTVZWEOOAHOBDR-YSMSDFMNSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C=C(C)C(OS(O)(=O)=O)=C3)C(=O)C2=C1	spark	CITCDKZOBAZVCS-UHFFFAOYSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C([C@@H](O)[C@](C)(O)[C@H](O)C3)C(=O)C2=C1C1=C2C(=O)C3=C(C[C@@H](O)[C@@](C)(O)[C@@H]3O)C(=O)C2=C(O)C=C1OC	spark	HPRQIJBYHJQTCF-WQQAWHSESA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C=C(C)C(O)=C3C3=C(OC)C=C4C(=O)C5=C(C=C(O)C(C)=C5)C(=O)C4=C3O)C(=O)C2=C1	spark	IFLKWZMIHYZTTR-UHFFFAOYSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C=C(C)C(O)=C3C3=C(OC)C=C(O)C4=C3C(=O)C3=C(C=C(O)C(C)=C3)C4=O)C(=O)C2=C1	spark	YZSAXGKYJYWVOD-UHFFFAOYSA-N		5.0		
COC1=CC(O)=C2C(=O)[C@H]3C[C@@H](O)[C@@](C)(O)[C@H](O)[C@@H]3[C@@H](O)C2=C1	spark	NDGIDBHYSCKXJM-CBDPYCFPSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C[C@@H](O)[C@@](C)(O)[C@H](O)[C@@H]3[C@@H](O)C2=C1	spark	MLOZPTTXVAPEPM-YXLJTMCISA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C=C(C)C(=C3)C(=O)OC[C@H]3O[C@H](O)[C@H](O)[C@@H](O)[C@@H]3O)C(=O)C2=C1	spark	XWXRUPJCEUGPHV-ZIXMXCCESA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C[C@](C)(O)[C@H](O)C3)C(=O)C2=C1C1=C(OC)C=C2C(=O)C3=C(C[C@@H](O)[C@@](C)(O)C3)C(=O)C2=C1O	spark	JQTNVWBFASHYGV-NLYGGHDJSA-N		5.0		
COC1=CC(O)=C2C(=O)[C@]34O[C@]3([C@@H](O)[C@](C)(O)[C@H](O)[C@H]4O)C(=O)C2=C1	spark	IGQRNPSFVHAGKN-AQGHMYMLSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C[C@](C)(O)[C@@H](C3)OC(C)=O)C(=O)C2=C1	spark	PRZYHPLIQBYLCZ-KDOFPFPSSA-N		6.0		
COC1=CC(O)=C2C(=O)C3=C([C@@H](O)[C@](C)(O)[C@H](O)C3)C(=O)C2=C1C1=C(OC)C=C2C(=O)C3=C(C[C@@H](O)[C@@](C)(O)C3)C(=O)C2=C1O	spark	IEFTVHHVCNGFFB-CYFFLJPJSA-N		5.0		
COC1=CC2=C(C(O)=C1)C(=O)C1=C([C@@H](O)[C@](C)(O)[C@H](O)[C@H]1O)C2=O	spark	VSMBLBOUQJNJIL-JJXSEGSLSA-N		6.0		
COC1=CC(O)=C2C(=O)[C@H]3C[C@@H](O)[C@@](C)(O)C[C@@H]3[C@@H](O)C2=C1	spark	GYPNJHLHXZTDFI-AGMUGAOZSA-N		6.0		
COC1=CC(O)=C2C(=O)C3=C([C@@H](O)[C@](C)(O)[C@H](O)[C@H]3O)C(=O)C2=C1C1=C(OC)C=C(O)C2=C1C(=O)C1=C(C=C(O)C(C)=C1)C2=O	spark	YHXUFRJJYFYRSH-BVEPWEIPSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C([C@@H](O)[C@](C)(O)[C@H](O)[C@H]3O)C(=O)C2=C1C1=C(OC)C=C(O)C2=C1C(=O)C1=C([C@@H](O)[C@H](O)[C@](C)(O)[C@H]1O)C2=O	spark	IXBPWSPJMNOFJJ-IZDSXESFSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C=C(C)C(O)=C3C3=C(OC)C=C4C(=O)C5=C([C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]5O)C(=O)C4=C3O)C(=O)C2=C1	spark	PSGFKGASHCTNSI-BVEPWEIPSA-N		5.0		
COC1=CC(O)=C2C(=O)[C@H]3[C@H](O)[C@@H](O)[C@@](C)(O)[C@H](O)[C@@H]3[C@@H](O)C2=C1	spark	WYVKBAUSAOYEHR-DQJRHUNDSA-N		5.0		
COC1=CC(O)=C2C(=O)[C@H]3C[C@@H](OC(C)=O)[C@@](C)(O)[C@H](O)[C@@H]3[C@@H](O)C2=C1	spark	JOCYAISYJVQQMF-LGYFHBSQSA-N		5.0		
COC1=CC(O)=C2C(=O)C3=C(C[C@](C)(O)[C@H](O)C3)C(=O)C2=C1	spark	AAHQQIFXAQHGBD-WBMJQRKESA-N		6.0		
COC1=CC2=C(C(O)=C1)C(=O)C1=C(C(O)=C(C)C=C1C2=O)C1=C2C(=O)C3=C(C=C(OC)C=C3O)C(=O)C2=CC(C)=C1O	spark	YMUYQXVUCQBXAD-UHFFFAOYSA-N		5.0		
COC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(C)C(O)=C1)C2=O	spark	FKTPLNFTYJEAAB-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NC1=CC=C(C=C1)[N+]([O-])=O	spark	PKDKIEKRVWMGAT-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NC1=CC=C(F)C=C1	spark	YIZPGXYYUQJIDZ-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1=C(F)C=CC=C1)[N+]([O-])=O	spark	NAJITKWGNYAKDL-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NC1=CC=CC=C1	spark	DHNUZFHDPFHOHE-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NC1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O	spark	AODKJENAMZSCQJ-UHFFFAOYSA-N		6.0		
COC1=CC=C(OC)C(NC(=O)NNC(=O)C2=CC(=CN2C)[N+]([O-])=O)=C1	spark	GUJNMQGGAPBLFE-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NC1CCCC1)[N+]([O-])=O	spark	WTQBNRNBTSCSJO-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NCCC1=CC=CC=C1	spark	GDGSXTNBIZVWIC-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NC1CCCCC1	spark	XFVGOHCCIFIELS-UHFFFAOYSA-N		6.0		
COC1=CC=C(NC(=S)NNC(=O)C2=CC(=CN2C)[N+]([O-])=O)C=C1	spark	KISWBHXMLPNKTP-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NCC1=CC=CC=C1)[N+]([O-])=O	spark	IKIWAPSPFGLQFB-UHFFFAOYSA-N		6.0		
COC1=CC(NC(=S)NNC(=O)C2=CC(=CN2C)[N+]([O-])=O)=CC(OC)=C1OC	spark	XZYRQLFTLYICJT-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NCC1=CC=CO1	spark	ZOEKXFCMFRHJTB-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NC1=CC=C(Cl)C=C1	spark	TVMGZUMSGDYDSF-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NC1=CC=C(C=C1)[N+]([O-])=O	spark	REAPFGRTTCDLPE-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NC1=CC=C(Br)C=C1	spark	BCFQLAMBHSMNBL-UHFFFAOYSA-N		6.0		
COC1=CC=C(OC)C(NC(=O)NNC(=O)C2=CC(=CN2)[N+]([O-])=O)=C1	spark	GFNOGARXPHUXOA-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NC1CCCC1	spark	UUBYXPAYKMGGDX-UHFFFAOYSA-N		6.0		
COC1=CC=C(NC(=O)NNC(=O)C2=CC(=CN2C)[N+]([O-])=O)C=C1	spark	ATHMMFHNOOYYMI-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NCC1=CC=CC=C1)[N+]([O-])=C	spark	XQWMLGFCNBGKFW-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NCCC1=CC=CC=C1)[N+]([O-])=O	spark	MNPRPTYLNZRQLF-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NCC1=CC=CO1)[N+]([O-])=O	spark	GMYLSUQEHDAENO-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NC1=CC=CC=C1)[N+]([O-])=O	spark	IGPLLQWUMGLVMQ-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NC1=C(F)C=CC=C1	spark	NSGBSHGRWRTQHV-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NCCC1=CC=CC=C1	spark	QMSKGJZQIYYXAK-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=S)NCC1=CC=CC=C1	spark	SMCZOXCPBZBEAJ-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1=CC=C(C=C1)[N+]([O-])=O)[N+]([O-])=O	spark	APPXCZHXHSTXMW-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1=CC=C(F)C=C1)[N+]([O-])=O	spark	ZTEYCTIYBRXABP-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1=CC=C(Cl)C=C1)[N+]([O-])=O	spark	JBEJHDRCSOHWMN-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1CCCCC1)[N+]([O-])=O	spark	RGKIFNUXNLUYCJ-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NC1=C(C)C=CC=C1)[N+]([O-])=O	spark	HKUBKOXKVFLPTI-UHFFFAOYSA-N		6.0		
COC1=CC=C(NC(=O)NNC(=O)C2=CC(=CN2)[N+]([O-])=O)C=C1	spark	URYUABOWTBMHBR-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=O)NC1=CC=C(Br)C=C1)[N+]([O-])=O	spark	NSIXRZHWAKAQCI-UHFFFAOYSA-N		6.0		
CC1=C(NC(=S)NNC(=O)C2=CC(=CN2)[N+]([O-])=O)C=CC=C1	spark	UXHQTMYQXUZKHB-UHFFFAOYSA-N		6.0		
CN1C=C(C=C1C(=O)NNC(=S)NCCC1=CC=CC=C1)[N+]([O-])=O	spark	VSYYENYRTYECQW-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NC1=CC=C(Cl)C=C1	spark	VHISSHHZLZBOON-UHFFFAOYSA-N		6.0		
COC1=CC(NC(=S)NNC(=O)C2=CC(=CN2)[N+]([O-])=O)=CC(OC)=C1OC	spark	JFOYRBWXVLMLCJ-UHFFFAOYSA-N		6.0		
COC1=CC=C(NC(=S)NNC(=O)C2=CC(=CN2)[N+]([O-])=O)C=C1	spark	DYGFKIMRBUUHPR-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CNC(=C1)C(=O)NNC(=O)NCC1=CC=CC=C1	spark	PLHVRALEQIVKAL-UHFFFAOYSA-N		5.0		
CN1C=C(C=C1C(=O)NNC(=O)NC1=CC=C(Cl)C=C1)[N+]([O-])=O	spark	YQBNVTYSUGAKPF-UHFFFAOYSA-N		6.0		
CCCCCCCCCCCCCC(=O)N(CCCN)CCCN	spark	BPRQLYKQBGTUJT-UHFFFAOYSA-N		5.0		
N[C@@H](CC1=CC=CC=C1)C(=O)NCCCNCCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	WRVVABNFJORGNG-VXKWHMMOSA-N		4.0		
CCCCCCCCCCCCCC(=O)N(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)CCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	DMCZDECRFMHDEN-PXLJZGITSA-N		5.0		
CCCCCCCCCC(=O)N(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)CCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	CGQDLCIMTOGTQQ-CONSDPRKSA-N		5.0		
N[C@@H](CC1=CC=CC=C1)C(=O)NCCCN(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)C(=O)CC1=C2C=CC=CC2=CC=C1	spark	YWBKTNAXILFTMG-LQJZCPKCSA-N		4.0		
CCCCCCCCCCCCCCCCCC(=O)N(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)CCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	QLBBZKBOSZQTHS-YDAXCOIMSA-N		4.0		
CCCCCCCCCCCCCCCCCC(=O)N(CCCN)CCCN	spark	RFFXKIZICAEOPB-UHFFFAOYSA-N		5.0		
CCCCCCCCCCCCCCCC(=O)N(CCCN)CCCN	spark	JLHNIIPZVWQFGB-UHFFFAOYSA-N		5.0		
CCCCCCCCCC(=O)N(CCCN)CCCN	spark	URKFDYCRMSVGAY-UHFFFAOYSA-N		4.0		
CCCCCCCCCCCC(=O)N(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)CCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	TZJHMPIYNHJORW-LQJZCPKCSA-N		5.0		
N[C@@H](CC1=CC=CC=C1)C(=O)NCCCN(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)C(=O)[C@@H](N)CC1=CC=CC=C1	spark	BXCSULUXXZQZCV-DTXPUJKBSA-N		4.0		
CCCCCCCCCCCCCCCC(=O)N(CCCNC(=O)[C@@H](N)CC1=CC=CC=C1)CCCNC(=O)[C@@H](N)CC1=CC=CC=C1	spark	BFGNASMJLZHLGF-BCRBLDSWSA-N		4.0		
CCCCCCCCCCCC(=O)N(CCCN)CCCN	spark	LKMVVKWOEOPNNA-UHFFFAOYSA-N		4.0		
C[C@]12C[C@H](OC(=O)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@@H](O)C1=C)C1=COC=C1	spark	SMEKOFCCRYVWBV-KCMORZRYSA-N		4.0		
COC(=O)C1=CCC[C@H]2C34C[C@@H](O[C@H]3O[C@H](O)C12[C@H](CC4=C)OC(C)=O)C1=COC=C1	spark	HTVMZRDDOHBSER-XEYXDOPISA-N		4.0		
C[C@@H]1C(=O)CC[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)C1=COC=C1	spark	YXIXITUSOJUAND-VZXMROHQSA-N		4.0		
C\C(C=O)=C/C[C@H]1C(=C)CC[C@H]2[C@](C)(CO)[C@H](O)CC[C@]12C	spark	XMGQNBFCAUFSGC-RXHMHPOJSA-N		4.0		
C\C(=C/CO)[C@@H]1C[C@H]2[C@](C)(O1)[C@@H](O)C[C@H]1C(C)(C)CCC[C@]21C	spark	POGFNKXITAADKD-ZPAHIADASA-N		4.0		
C[C@@H]1CC[C@]2(C)[C@H](CC[C@@H](O)[C@]2(C)O)[C@@]1(C)C[C@H](O)C1=COC=C1	spark	ZOVNGEHLBNZAPT-UDERSWLKSA-N		4.0		
COC(=O)C1=CCC[C@H]2[C@@]34C[C@@H](O[C@H]3O[C@@H](O)[C@@]12CC[C@@H]4C)C1=COC=C1	spark	FTIIWSAYPGBNDS-ISZXVOLMSA-N		4.0		
