compound_smiles	compound_source	compound_inchikey	gram-positive	gram-negative	fungi	acid-fast
CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)NC1C(C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)C(C)CC(O)=O	spark	DOAKLVKFURWEDJ-OFNKPWESSA-N	6.0	5.0		
NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F	spark	DYDCPNMLZGFQTM-UHFFFAOYSA-N	7.0	6.0		
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)C4=C(C(O)=CC=C4Cl)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O	spark	FMTDIUIBLCQGJB-SEYHBJAFSA-N	6.0	6.0		
NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1	spark	JJCQSGDBDPYCEO-XVZSLQNASA-N	6.0	5.0		
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl	spark	YFAGHNZHGGCZAX-JKIFEVAISA-N	6.0			
CN1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1=CC=C(F)C=C1)C(O)=O	spark	NOCJXYPHIIZEHN-UHFFFAOYSA-N	6.5	6.0		
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)OC([C@H]2C)[C@]1(C)O	spark	WLOHNSSYAXHWNR-GETPLZSYSA-N	6.0	4.0		
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N2C1=O)C(O)=O	spark	AVAACINZEOAHHE-VFZPANTDSA-N	6.0	6.0		
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12	spark	JBIWCJUYHHGXTC-AKNGSSGZSA-N	6.0	6.0		
COC1=C2N(C=C(C(O)=O)C(=O)C2=CC=C1N1CC[C@H](C1)C1(N)CC1)C1C[C@@H]1F	spark	ZLICIITZJTYKAQ-URONZZCZSA-N	6.0	6.0		
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1	spark	IDYZIJYBMGIQMJ-UHFFFAOYSA-N	6.0	6.0		
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([C@H]2O)N(C)C)[C@@]2(C)C[C@@H](C)\C(=N/C(C)=O)[C@H](C)[C@H](OC\C(CO2)=N/OCC2=CN=C(C=C2)N2C=CC=N2)[C@]1(C)O	spark	WLGSYOKBEDVHQB-XGTPFDALSA-N	6.0			
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N2C1=O)C(O)=O	spark	JUZNIMUFDBIJCM-ANEDZVCMSA-N	6.5	6.0		
C[C@@H](O)[C@@H]1[C@H]2SC([C@H]3CCCO3)=C(N2C1=O)C(O)=O	spark	HGGAKXAHAYOLDJ-FHZUQPTBSA-N	6.0	6.0		
CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O	spark	XBJBPGROQZJDOJ-UHFFFAOYSA-N	6.0	7.0		
C[C@H]1NCC2=CC(=CC=C12)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1OC(F)F)C(O)=O	spark	NJDRXTDGYFKORP-LLVKDONJSA-N	6.0	6.0		
COC1=C(N2CCNC(C)C2)C(F)=CC2=C1N(C=C(C(O)=O)C2=O)C1CC1	spark	XUBOMFCQGDBHNK-UHFFFAOYSA-N	6.5	7.0		
CO\N=C1/CN(CC1CN)C1=NC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O	spark	ZRCVYEYHRGVLOC-HYARGMPZSA-N	7.0	7.0		
CN[C@H](C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1	spark	CEAZRRDELHUEMR-CAMVTXANSA-N	6.0	6.0		
CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O	spark	AIJTTZAVMXIJGM-UHFFFAOYSA-N	6.5	6.0		
COC1=C(OC)C2=C(C=CC(O2)C2CC2)C(CC2=CN=C(N)N=C2N)=C1	spark	HWJPWWYTGBZDEG-UHFFFAOYSA-N	6.0	6.0		
C[C@@H](O)[C@@H]1[C@H]2CC(SCCNC=N)=C(N2C1=O)C(O)=O	spark	ZSKVGTPCRGIANV-ZXFLCMHBSA-N	7.0	6.0		
CNC1C(O)C(OC2C(CC(N)C(OC3OC(CN)C(O)C(O)C3O)C2O)NC(=O)C(O)CN)OCC1(C)O	spark	UDIIBEDMEYAVNG-UHFFFAOYSA-N	5.5	6.0		
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	spark	SBUJHOSQTJFQJX-NOAMYHISSA-N	5.0	5.0		
C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O	spark	GSDSWSVVBLHKDQ-JTQLQIEISA-N	6.0	6.0		7.0
CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O	spark	OJMMVQQUTAEWLP-KIDUDLJLSA-N	5.5	4.0		
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1	spark	TYZROVQLWOKYKF-ZDUSSCGKSA-N	6.0	5.0		
CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N1CCNC(C)C1)C(F)=C2	spark	ZEKZLJVOYLTDKK-UHFFFAOYSA-N	6.0	6.0		
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=C(Cl)C=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O	spark	GGQJXCQBBONZFX-IWVLMIASSA-N	6.0	6.0		
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O	spark	DMJNNHOOLUXYBV-PQTSNVLCSA-N	7.0	7.0		
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=CC=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O	spark	MHIGBKBJSQVXNH-IWVLMIASSA-N	6.0	6.0		
COC1=CC=CC(OC)=C1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O	spark	RJQXTJLFIWVMTO-TYNCELHUSA-N	6.0	4.0		
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O	spark	YPBATNHYBCGSSN-VWPFQQQWSA-N	6.0	5.0		
CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O	spark	DYKFCLLONBREIL-KVUCHLLUSA-N	7.0	6.0		
COC1=C(N2C[C@@H]3CCCN[C@@H]3C2)C(F)=CC2=C1N(C=C(C(O)=O)C2=O)C1CC1	spark	FABPRXSRWADJSP-MEDUHNTESA-N	6.0	7.0		
CC1CCC2=C(N3CCC(O)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O	spark	JYJTVFIEFKZWCJ-UHFFFAOYSA-N	6.0	5.0		
CCOC1=CC=C2C=CC=CC2=C1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O	spark	GPXLMGHLHQJAGZ-JTDSTZFVSA-N	6.5	5.0		
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	spark	PGBHMTALBVVCIT-VCIWKGPPSA-N	6.0	5.0		
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O	spark	CIDUJQMULVCIBT-MQDUPKMGSA-N	6.5	6.0		
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1	spark	OGJPXUAPXNRGGI-UHFFFAOYSA-N	6.0	6.0		
CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=C(CNCC(C)(C)C)C(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)N(C)C	spark	JEECQCWWSTZDCK-IQZGDKDPSA-N	6.0	6.0		
CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(NCC5=CC=C(C=C5)C5=CC=C(Cl)C=C5)[C@@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC=C(O)C(=C3)C3=C(C=C(O)C=C3O)[C@@H](NC(=O)[C@@H](NC1=O)[C@H](O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)C1=CC=C(O4)C(Cl)=C1)C(O)=O)C(Cl)=C2	spark	VHFGEBVPHAGQPI-MYYQHNLBSA-N	6.0			
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1	spark	UWYHMGVUTGAWSP-JKIFEVAISA-N	6.5	6.0		
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O	spark	IWVCMVBTMGNXQD-PXOLEDIWSA-N	6.0	6.0		
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1	spark	FHFYDNQZQSQIAI-UHFFFAOYSA-N	6.0	6.0		
CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O	spark	BPLBGHOLXOTWMN-MBNYWOFBSA-N	6.0	4.0		
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C2=CC=CC=C2)C(=O)C1=O	spark	IVBHGBMCVLDMKU-GXNBUGAJSA-N	6.0	5.0		
CC[C@H]1NC(=O)[C@@H](NC(=O)C2=NC=CC=C2O)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](CC2=CC=C(C=C2)N(C)C)N(C)C(=O)[C@@H]2CCCN2C1=O)C1=CC=CC=C1	spark	WTHRRGMBUAHGNI-LCYNINFDSA-N	6.0			
CC(O)C1C2C(C)C(SC3CC([NH+](C)C3)C(=O)N3CCC(C3)NC(=O)CNC(N)=[NH2+])=C(N2C1=O)C([O-])=O	spark	KEDAXBWZURNCHS-UHFFFAOYSA-O	6.0	6.0		
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCN(CC3=CC=C(O3)[N+]([O-])=O)CC2)C(F)=C1	spark	PWHNTOQANLCTHN-KRWDZBQOSA-N	6.0			
CO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(O)=C4C(=O)C(NC(=O)\C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1OC5=CC(=CC(O)=C5N=C1C4=C3C2=O)N1CCN(CC(C)C)CC1	spark	UEFHFKKWYKVLDC-KONIMJIESA-N	6.0			
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(C2O)N(C)C)[C@](C)(O)C[C@@H](C)\C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O	spark	RXZBMPWDPOLZGW-KMAKEOJNSA-N	6.0	4.0		
CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN3CCSC1=C23)C(O)=O	spark	NJCJBUHJQLFDSW-UHFFFAOYSA-N	6.0	6.0		
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O	spark	URWAJWIAIPFPJE-YFMIWBNJSA-N	6.0	6.0		
N[C@@H]1CN(CC11CC1)C1=C(Cl)C2=C(C=C1F)C(=O)C(=CN2C1C[C@H]1F)C(O)=O	spark	PNUZDKCDAWUEGK-SJMSNRFBSA-N	6.0	6.0		
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(N)=C1F)C(=O)C(=CN2C1CC1)C(O)=O	spark	DZZWHBIBMUVIIW-DTORHVGOSA-N	7.0	7.0		
